,Select Fair,Select G Fair,Select Acc,Hyp,Best Res,time
0,0.746768307402816,0.7260086576367705,0.7698044371720797,0.0,0.0,0.0
1,0.28469673668959705,0.3708646638679304,0.7293080845505306,2.864599653599761,2.338880130205376,22.563239336013794
2,0.009161005056384286,0.5316030517571944,0.724968324465439,2.5407593134775524,2.231947534079507,25.93098473548889
3,0.08351285559781418,0.45928150211642127,0.7331859797194977,2.8077673985578615,2.385027039993343,28.670547485351562
4,0.00660263863727506,0.46423110178310933,0.7257542731763382,2.323724165931994,2.113955015506547,31.71979522705078
5,0.05434701723924107,0.42965953375863963,0.7347590383944826,2.7574118647040655,2.3689827765556135,34.91533875465393
6,0.00440006182357644,0.43718376375237,0.7295972052088169,2.241062599207938,2.079326524590261,37.90375733375549
7,0.014564733553174669,0.4757507883334431,0.7321644849230105,2.523901022807871,2.2383520201076688,40.745771646499634
8,0.015325459515646678,0.4864440265311588,0.7309051529197828,2.379027830124257,2.152741565322211,43.10271739959717
9,0.004444221300406337,0.48676411039901346,0.7307894983794241,2.4490228799009834,2.1962316260787422,46.876038789749146
10,0.007416400741896867,0.4957963501584399,0.7312550039812153,2.45555342780028,2.199855647190165,49.257362842559814
11,0.01851385016904905,0.4659599993611623,0.7312646078589222,2.429373735418789,2.1805229190771493,52.93717408180237
12,0.0037403903971860997,0.49206176427957404,0.7328849326771312,2.4288365692861906,2.1902374890785903,55.28309607505798
13,0.015346667937468195,0.4628900975530845,0.7362176037822958,2.3398878641266534,2.143478824568292,58.982295513153076
14,0.005733544102379473,0.4649344268190375,0.7325064582939056,2.1670470163654576,2.046187602768675,62.10389161109924
15,0.00683096844663722,0.47576659998563264,0.7327266256210743,2.3603683836829443,2.150273416611529,64.67871594429016
16,0.003016597889634043,0.453754668389202,0.733882982713334,2.348432681440061,2.1480061758694236,67.87729549407959
17,0.024477601789136383,0.4533097102945126,0.7411358248805087,2.286728184507659,2.121377996177866,68.13648819923401
