,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
96,sample_data_parallel_adult-VGAN-ordi-gmm-b-25_sex_3.csv,0.354,-0.42,-0.039,-0.043,0.106,0.534,0.756,0.776,0.769
97,sample_data_parallel_adult-VGAN-gmm-b-100_sex_1.csv,0.373,-0.487,-0.006,0.061,0.096,0.523,0.808,0.77,0.783
98,sample_data_parallel_adult-VGAN-gmm-b-100_sex_2.csv,0.431,-0.539,-0.033,0.022,0.101,0.538,0.783,0.78,0.781
99,sample_data_parallel_adult-VGAN-gmm-b-100_sex_3.csv,0.555,-0.742,-0.095,-0.028,0.098,0.536,0.793,0.779,0.783
100,sample_data_parallel_adult-VGAN-ordi-gmm-b-100_sex_1.csv,0.636,-0.777,-0.158,-0.164,0.103,0.572,0.751,0.799,0.783
101,sample_data_parallel_adult-VGAN-ordi-gmm-b-100_sex_2.csv,0.604,-0.827,-0.159,-0.141,0.097,0.536,0.797,0.779,0.785
102,sample_data_parallel_adult-VGAN-ordi-gmm-b-100_sex_3.csv,0.54,-0.735,-0.133,-0.125,0.097,0.528,0.802,0.773,0.783
103,sample_data_parallel_adult-VGAN-ordi-gmm-b-50_sex_1.csv,0.455,-0.558,-0.079,-0.078,0.103,0.543,0.766,0.782,0.777
104,sample_data_parallel_adult-VGAN-ordi-gmm-b-50_sex_2.csv,0.366,-0.415,-0.032,-0.033,0.107,0.555,0.749,0.789,0.776
105,sample_data_parallel_adult-VGAN-ordi-gmm-b-50_sex_3.csv,0.467,-0.599,-0.086,-0.075,0.1,0.532,0.781,0.776,0.778
106,sample_data_parallel_adult-VGAN-ordi-norm-b-100_sex_1.csv,0.78,-1.192,-0.345,-0.412,0.095,0.524,0.809,0.771,0.784
107,sample_data_parallel_adult-VGAN-ordi-norm-b-100_sex_2.csv,0.832,-1.348,-0.421,-0.515,0.095,0.511,0.82,0.761,0.781
108,sample_data_parallel_adult-VGAN-ordi-norm-b-100_sex_3.csv,0.823,-1.221,-0.382,-0.48,0.103,0.527,0.776,0.772,0.773
109,sample_data_parallel_adult-VGAN-ordi-norm-b-50_sex_1.csv,0.837,-1.127,-0.358,-0.466,0.109,0.556,0.739,0.789,0.772
110,sample_data_parallel_adult-VGAN-ordi-norm-b-50_sex_2.csv,0.91,-1.356,-0.459,-0.6,0.106,0.535,0.762,0.777,0.772
111,sample_data_parallel_adult-VGAN-ordi-norm-b-50_sex_3.csv,0.854,-1.167,-0.379,-0.493,0.113,0.545,0.729,0.782,0.764
112,sample_data_parallel_adult-WGAN-norm-b-100_sex_1.csv,0.661,-0.898,-0.165,-0.125,0.097,0.551,0.796,0.789,0.791
113,sample_data_parallel_adult-WGAN-norm-b-100_sex_2.csv,0.7,-0.934,-0.19,-0.164,0.102,0.553,0.771,0.789,0.783
114,sample_data_parallel_adult-WGAN-norm-b-100_sex_3.csv,0.51,-0.599,-0.056,-0.004,0.106,0.569,0.753,0.798,0.783
115,sample_data_parallel_adult-WGAN-norm-b-50_sex_1.csv,0.564,-0.741,-0.099,-0.036,0.101,0.539,0.782,0.78,0.781
116,sample_data_parallel_adult-WGAN-norm-b-50_sex_2.csv,0.567,-0.64,-0.075,-0.03,0.108,0.588,0.733,0.807,0.782
117,sample_data_parallel_adult-WGAN-norm-b-50_sex_3.csv,0.53,-0.671,-0.072,-0.009,0.101,0.551,0.781,0.788,0.786
