filename,Test Algorithm,Accuracy Gen,Accuracy Orig,Accuracy Bal Gen,Accuracy Bal Orig,K1 Dist,Disparate Impact,Disparate Impact Gen,Equal Opp. Diff,Statistical Par. Diff,Theil Index,Avg. Odds,testfile
Original_0_0_0,LogReg,0.9002457551385165,0.903179430467238,0.6443894093361534,0.6549173546430519,0.0033744374093613,0.7840495479628977,0.7992784420947572,0.1922280617932791,0.1715807764333648,0.0889459822055158,0.1361494585669462,all_test
sample_data_0_25_0-age.csv,LogReg,0.9954870420017872,0.8738180812828311,0.9886914220528976,0.4968522720237379,0.6510552613778009,0.7343045655191777,0.5097145154228999,-0.0055741360089186,-0.0078887950857114,0.12795619448149,-0.0064053078541077,all_test
sample_data_0_26_0-age.csv,LogReg,0.9965370866845398,0.8749792645839094,0.9919556409883232,0.4983297329028679,0.5823505957010221,0.7139866793529972,0.6797868469977927,-0.007803790412486,-0.0071256155624051,0.127313405604474,-0.0069623922737392,all_test
sample_data_1_25_0-age.csv,LogReg,0.9952412868632708,0.8566215095382914,0.9744851509250244,0.4963389458143205,0.8920753376321973,0.574980205332251,0.9238131974107956,-0.012342729734034,-0.0193077772367058,0.1328805949795095,-0.0164386385565712,all_test
sample_data_1_26_0-age.csv,LogReg,0.9943476318141198,0.8577273983964611,0.9866246353072584,0.4965551906393307,0.8732331361963505,0.2468670305143976,0.9192159805603014,-0.0112279025322503,-0.0077970213934921,0.1325511267615403,-0.0079726456268609,all_test
sample_data_2_25_0-age.csv,LogReg,0.998212689901698,0.8800663533314902,0.995821789085984,0.49916047171262,0.650837735942735,0.1207731595632265,0.0747600446202308,0.0014333492594362,0.0004596504645603,0.1255503297610047,0.0010026342551353,all_test
sample_data_2_26_0-age.csv,LogReg,0.9982573726541556,0.8797898811169478,0.9950494585006912,0.4990039183905584,0.6312437143092616,0.0436479981214043,0.5987673584193655,0.0014333492594362,0.0001661198786732,0.1256691975467155,0.0008385922603846,all_test
Original_0_0_0,LinSVC,0.8993744414655943,0.9020735416090682,0.6404158986822384,0.6471166932481778,0.0024987263953791,0.7637852898585759,0.8052153730150351,0.138477464564421,0.1482513788117502,0.0907448253501092,0.1054542092056197,all_test
sample_data_0_25_0-age.csv,LinSVC,0.995732797140304,0.862560132706663,0.990226869989272,0.4984718057824936,0.656772642867493,0.5731139530007776,0.5081463952229193,-0.0163242554546902,-0.0153288095550098,0.130877835724745,-0.015427608431146,all_test
sample_data_0_26_0-age.csv,LinSVC,0.9961349419124218,0.8200718827757811,0.9929372158128064,0.4852768555238345,0.5795087208343194,0.5276978396268819,0.6778743480699051,-0.0348781653129479,-0.0403967349344519,0.1430420395643452,-0.0351237547885068,all_test
sample_data_1_25_0-age.csv,LinSVC,0.9954423592493298,0.8378766933923141,0.9751781584712756,0.4967937790859204,0.8982274002334008,0.3985209672786199,0.9210751828879534,-0.0314540531931836,-0.0233254317469052,0.1371104799637123,-0.025233091424908,all_test
sample_data_1_26_0-age.csv,LinSVC,0.994436997319035,0.8160906828863699,0.9900696579823156,0.4959364942780796,0.8742977808422012,0.0399990657521138,0.921158968979852,-0.0113871635610765,0.003539403534678,0.1412349705189569,0.0002211109816318,all_test
sample_data_2_25_0-age.csv,LinSVC,0.998100983020554,0.8723251313243019,0.9952301238712448,0.4984666948640212,0.6525082514653218,0.3602333617106515,0.1304471035312213,-0.0012740882306099,-0.0048217216431858,0.1280928607732026,-0.0033787731584338,all_test
sample_data_2_26_0-age.csv,LinSVC,0.998793565683646,0.8713298313519491,0.9961064337151034,0.501182850610487,0.630907962094454,0.043104265486042,0.594630522899667,0.0081223124701385,-0.0006857611803873,0.1278552487274074,0.001641300538019,all_test
Original_0_0_0,NeuralNet,0.8926496872207328,0.8962123306607687,0.675304158080646,0.6453009805190056,0.0036088941401653,0.7984560180756025,0.8175384125952371,0.0635716940064766,0.1273617016633697,0.0926381542654268,0.0683555556250515,all_test
sample_data_0_25_0-age.csv,NeuralNet,0.9961647304140602,0.8529167818634228,0.9913231951722536,0.5046269990340058,0.6599230735307104,0.2137972211040547,0.5096099555570303,-0.0198279980888676,-0.0056190858893395,0.1320066763720895,-0.0113450573020693,all_test
sample_data_0_26_0-age.csv,NeuralNet,0.9959413166517724,0.8545018892267993,0.9917567059658516,0.5003999656233763,0.5818066835353379,0.4039870482392191,0.6670674328366403,-0.0046716568455698,-0.0077354106920205,0.1318337664176584,-0.0070369254564376,all_test
sample_data_1_25_0-age.csv,NeuralNet,0.9727807566279416,0.8435535895309187,0.8167292985232067,0.5091643029778514,0.8932139244097458,0.2804480025132334,0.9469930921277264,-0.0160588204066465,-0.0151346902285055,0.1332083065443609,-0.0182677458949008,all_test
sample_data_1_26_0-age.csv,NeuralNet,0.9530458742925232,0.8321997972537094,0.6598272892748571,0.4905044540653218,0.876593081379267,0.3716029810249086,0.9738529279491284,-0.0230928491798057,-0.0134488769517922,0.1395220699310029,-0.0138671800201654,all_test
sample_data_2_25_0-age.csv,NeuralNet,0.925491510277033,0.865523914846558,0.6653242505301908,0.4982368712332254,0.6533635628596136,0.3754787662625764,0.6733661512140817,0.0340553166640123,0.0256169253254838,0.1299254278289391,0.0290752264600642,all_test
sample_data_2_26_0-age.csv,NeuralNet,0.9643655049151026,0.8726016035388443,0.8306246004431864,0.5032695574360894,0.6278072764411142,0.788235790166471,0.7191403776077853,0.0837713011626055,0.0793492956625135,0.1270238186245739,0.0809663943463568,all_test
