filename,Algorithm,Accuracy Gen,Accuracy Orig,Accuracy Bal Gen,Accuracy Bal Orig,K1 Dist,Disparate Impact,Disparate Impact Gen,Equal Opp. Diff,Statistical Par. Diff,Theil Index,Avg. Odds
Original_0_0_0,LogReg,0.897899910634495,0.9031294924250804,0.635520806714404,0.6528368408156597,0.0041910890519776,0.7900334540270386,0.831295685115746,0.2019604482983172,0.1732398500323941,0.0893548269452279,0.1403943792991036
sample_data_0_9_0-age.csv,LogReg,0.930071492403932,0.8924029636182682,0.6975730552168713,0.6393834493550644,0.0492403422661734,0.8077901315311389,0.8172109698211905,0.1930630290982623,0.2122548738805827,0.0948114249785284,0.1694183942724573
sample_data_1_9_0-age.csv,LogReg,0.8819481680071493,0.895808912971359,0.5907812610635135,0.6384422588194074,0.1161669300591077,0.8390501060300359,0.759342415170943,0.2661548479967097,0.2315714848400477,0.0941107207484873,0.205581452968208
sample_data_2_9_0-age.csv,LogReg,0.9148570151921358,0.898595598805706,0.6745389945971342,0.6793775663963504,0.0567412865990993,0.5570285619533226,0.7508316358990872,-0.0224149158583816,0.0895036441701936,0.0853712503202216,0.0051074493668486
sample_data_3_9_0-age.csv,LogReg,0.9205317247542448,0.88333517637952,0.6158745095205647,0.5657834337303048,0.1531715197958696,0.941297696612292,0.9395072773801688,0.44492579771738,0.2900406891262828,0.1117108874018663,0.322404122876586
sample_data_4_9_0-age.csv,LogReg,0.910366398570152,0.8624350326219175,0.6241484272152238,0.5707576114477405,0.171720969144577,0.7174708914507071,0.6589469333458786,0.0945196558933406,0.1437654338256615,0.1159529655180868,0.1106310231969684
sample_data_5_9_0-age.csv,LogReg,0.9138739946380696,0.8953886984407828,0.6306577440518875,0.6636226005044903,0.037067556180336,0.8238347911398527,0.7458887806682579,0.2694039825890256,0.2647484205931474,0.0892724237265336,0.2229323070782488
sample_data_6_9_0-age.csv,LogReg,0.9166666666666669,0.8705075749198274,0.6986743461335511,0.6171458654163703,0.0443485377492373,0.656009353578064,0.2630810937515485,0.1110943551427494,0.1364102625587656,0.1044650034335746,0.0969707971247346
sample_data_bank_tab_split_age_60_0_0.csv,LogReg,0.8915102770330652,0.8873161561428728,0.5919561797158727,0.5356498420360483,0.01155909515764,1.0,0.9548734562172524,-0.0905027932960893,-0.0144467935165609,0.1163208497071976,-0.0480076638747148
sample_data_bank_tab_split_age_60_0_1.csv,LogReg,0.891912421805183,0.8858785801172179,0.6084407278554489,0.5405754291186333,0.0076733344184662,0.9012606260220116,0.9645646189270796,-0.106145251396648,-0.0172545785813469,0.1158339229518926,-0.0561690333705441
sample_data_bank_tab_split_age_60_0_2.csv,LogReg,0.8889633601429848,0.8887537321685282,0.600137500119839,0.5405635921795711,0.0072776553274923,1.0,0.9566378365887424,-0.1016759776536313,-0.0152689687573408,0.1149391896178731,-0.0533973798230093
sample_data_bank_tab_split_age_60_0_3.csv,LogReg,0.8924932975871315,0.8878248368904125,0.6084157125036507,0.5320841416976301,0.0101698299451358,1.0,0.8164121517384985,-0.08,-0.0116983791402396,0.116831219113428,-0.0418375114844467
sample_data_bank_tab_split_age_60_0_4.csv,LogReg,0.8927390527256479,0.8883114010837112,0.6108120794092938,0.5427729568555408,0.0111631331628514,1.0,0.9410357372948142,-0.1083798882681564,-0.017148226450552,0.1146613126166265,-0.05740558923186
sample_data_bank_tab_split_age_60_0_5.csv,LogReg,0.8930518319928508,0.8884219838549153,0.5765906659136494,0.5383258780345472,0.0105570557998131,1.0,0.9457603901199658,-0.0960893854748603,-0.0144467935165609,0.1154659567859347,-0.0504728329133062
sample_data_bank_tab_split_age_60_0_6.csv,LogReg,0.8935656836461126,0.8906336392790003,0.613480999863713,0.5481876462601784,0.0077884747807413,1.0,0.9637969720701896,-0.1195530726256983,-0.0170307728447263,0.1129096588385447,-0.062270301898884
sample_data_bank_tab_split_age_60_0_7.csv,LogReg,0.8842269883824845,0.8879796527700984,0.5898954369426237,0.5421751322482017,0.00802202799059,1.0,0.98995391431035,-0.1072625698324022,-0.0172656800563777,0.1148782546947901,-0.0569781808343006
