,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
Base,0.03616666666666667,-0.0018333333333333337,0.13383333333333333,0.1718333333333333,0.102,0.48433333333333334,0.8021666666666666,0.7391666666666666,0.7603333333333334,0.009669252527700602,0.023892002381085138,0.005746979883188889,0.0073139896393448955,0.001460593486680442,0.005469105147198313,0.0072911666495226206,0.0050689687752485295,0.0013333333333333224
Original,0.715,-0.539,-0.085,-0.095,0.124,0.755,0.591,0.851,0.764,,,,,,,,,
sample_data,0.6526666666666666,-0.6158,-0.10633333333333334,-0.09593333333333334,0.131,0.6216333333333334,0.6165333333333333,0.8088,0.7442666666666666,0.008363348245154681,0.02095607886459941,0.0074813689406454,0.008981965754346902,0.0014629524548178136,0.009068637801284226,0.00996185060282225,0.0033219576003992862,0.001983224666201069
