,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
2,0.5628333333333333,0.30483333333333335,0.057499999999999996,0.05783333333333334,0.12716666666666668,0.5611666666666667,0.39199999999999996,0.846,0.6648333333333334,0.015540091519822023,0.01893747020533043,0.007455423082115013,0.01111580456427294,0.0014472195564061614,0.00541243424389103,0.010162020796409871,0.0012110601416389962,0.004190597941954247
4725,0.22999999999999998,0.16666666666666666,0.021666666666666667,0.043000000000000003,0.1185,0.43850000000000006,0.5278333333333334,0.8065000000000001,0.6951666666666666,0.028586710198971837,0.02410486350188369,0.006955413559075966,0.012691204303243513,0.0009916316520428995,0.00534009987422208,0.008795516534639194,0.002906888370749717,0.002891558595482903
Base,0.2031666666666667,0.19283333333333333,0.15266666666666667,0.20066666666666666,0.11666666666666665,0.35566666666666663,0.605,0.7458333333333332,0.6894999999999999,0.013360181302828362,0.01787627229349316,0.005031014918593572,0.006205732117253461,0.0017638342073763933,0.008252945602093295,0.017910890541790493,0.010451209393069196,0.001979057014506304
Original,0.647,0.367,0.084,0.095,0.124,0.586,0.399,0.851,0.671,,,,,,,,,
sample_data,0.5668421052631579,0.3427368421052631,0.07821052631578947,0.09615789473684211,0.13573684210526316,0.4816315789473684,0.37226315789473685,0.8268421052631578,0.6455263157894737,0.02377431204481137,0.021585928124897357,0.011359767661780758,0.01376436265454867,0.0022121965285821906,0.008473284651507495,0.012898352518503955,0.002148388703837417,0.00586264237027224
