filename,Algorithm,Accuracy Gen,Accuracy Orig,Accuracy Bal Gen,Accuracy Bal Orig,K1 Dist,Disparate Impact,Disparate Impact Gen,Equal Opp. Diff,Statistical Par. Diff,Theil Index,Avg. Odds
Original_0_0_0,LogReg,0.8493418905689112,0.8504199870773206,0.764898646710366,0.7646132571802324,0.009992407015221843,0.7083257153444906,0.7177291008576175,-0.07439712434058054,-0.18185819184904312,0.12303269719758539,-0.07673981727407485
sample_data_0_9_0.csv,LogReg,0.8146633307951701,0.8226362265776437,0.7035751012337308,0.6975365739829698,0.5062785074362102,0.910934756038265,0.836799472710157,-0.38200351690413015,-0.20067477284593765,0.1609997161681554,-0.23269905196015545
sample_data_1_9_0.csv,LogReg,0.9317959316871534,0.5751669179409864,0.9152114965130697,0.5718609207858985,1.2430463983548514,0.10703409897625227,0.33811437442010045,0.07510858286161659,-0.05068136767517145,0.17179406874390776,0.017914567432462114
sample_data_2_9_0.csv,LogReg,0.9411726313499402,0.7215377988369589,0.9167595123364627,0.6106713581295413,0.5674274456358515,0.7239480719196847,0.5091523539855981,-0.11534016416361681,-0.21525482714196484,0.20206848166197328,-0.1526892895375548
sample_data_3_9_0.csv,LogReg,0.8849341890568911,0.7377772991600259,0.8279054099791143,0.6910116366984882,0.7879364375488993,0.5525412755628583,0.48978758736408345,-0.44458670162858765,-0.2099799088737418,0.1493538568513077,-0.2660220399638133
sample_data_4_9_0.csv,LogReg,0.8219949961927554,0.834051259961232,0.7147108455240287,0.742910251135125,0.29034846087215743,0.8159530099409824,0.8376692051049321,-0.23783219520682003,-0.22036495868990563,0.13468037642927363,-0.17366688306749625
sample_data_5_9_0.csv,LogReg,0.8095072337648211,0.8243592504846005,0.767968250839772,0.7339642704364084,0.4425345688389005,0.8038980332291855,0.8266432301299845,-0.2184814554763665,-0.22253054099022412,0.13919244345688342,-0.1692016970112148
sample_data_6_9_0.csv,LogReg,0.8402262591101926,0.8014214947232393,0.7598970685812063,0.7250359596172635,0.22969242363535983,0.7167818018312623,0.7127958013829613,-0.14136432268527432,-0.2209731951695606,0.14166028691743124,-0.13847061572619135
sample_data_FAIRGAN_gender_0_6_0.csv,LogReg,0.803859684390391,0.5220547060090459,0.7841796868473577,0.4301609277220324,9.816236607541288,0.33307347471256143,0.025084763424901423,0.16405922814517485,0.1525870212920573,0.26202861019978646,0.14453597108442492
sample_data_FAIRGAN_gender_1_6_0.csv,LogReg,0.9175193486782591,0.44805082920525524,0.9024779924592974,0.4774831877215993,6.76702697401215,0.06540641508786711,0.0231111909573535,-0.09049255298657241,0.03893148224457739,0.1776041693535821,-0.019215525405388297
sample_data_FAIRGAN_gender_2_6_0.csv,LogReg,0.9888430998090261,0.6115657979754469,0.954141378534314,0.6001211155688587,9.52984865217093,0.06169497184519923,0.018042204508437076,0.15591815430882883,-0.02685534179067678,0.167366971023326,0.07315858169665226
sample_data_adult_tab_gender_split_70_0_0.csv,LogReg,0.829478951376047,0.7854835235838897,0.7987170786231085,0.7493575225510661,0.2187862915348584,0.9757404567227178,0.9523470427632812,-0.6890093639125869,-0.43403843399269026,0.1224641618455786,-0.4907485496743396
sample_data_adult_tab_gender_split_70_0_1.csv,LogReg,0.828391167192429,0.7697178548352357,0.8097254313100499,0.7541394501874168,0.4197201396280491,0.9257145587080895,0.9203411333331722,-0.5371058240180939,-0.45233375044578106,0.11510090777187162,-0.4377779698144482
sample_data_adult_tab_gender_split_70_0_2.csv,LogReg,0.8161862286522353,0.7822528537583459,0.7896936818988547,0.7599941372406678,0.33247660649260735,0.9277145416052347,0.9349039537755368,-0.5498145236956077,-0.4322780346400757,0.1145748567776588,-0.42925084788158785
sample_data_adult_tab_gender_split_70_0_3.csv,LogReg,0.8321113891004025,0.7796683178979108,0.801942319310623,0.7492011362705506,0.37042055497774395,0.9482761842474072,0.9454494139450768,-0.6065494572410322,-0.4316575116155105,0.1211168849167941,-0.4551049322142441
sample_data_adult_tab_gender_split_70_0_4.csv,LogReg,0.8330468834983138,0.7936678871419341,0.796236104875812,0.7583181036547149,0.2880419529478674,0.9167321261315984,0.9332157857273857,-0.496672611021704,-0.3924225832156135,0.11848618555327492,-0.3830949066996838
