,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
90,0.03666666666666666,0.04,0.154,0.21033333333333334,0.11666666666666665,0.5146666666666667,0.7226666666666667,0.7623333333333333,0.7493333333333334,0.012862520921049827,0.014571661996262928,0.0035118845842842493,0.011464922347946563,0.002027587510099403,0.002185812841434008,0.01128912948125073,0.00133333333333333,0.0029627314724385307
Original,0.652,0.532,0.036,0.014,0.091,0.805,0.701,0.884,0.823,,,,,,,,,
