filename,Test Algorithm,Accuracy Gen,Accuracy Orig,Accuracy Bal Gen,Accuracy Bal Orig,K1 Dist,Disparate Impact,Disparate Impact Gen,Equal Opp. Diff,Statistical Par. Diff,Theil Index,Avg. Odds,testfile
Original_0_0_0,LogReg,0.901586237712243,0.903179430467238,0.6477171062527978,0.6549173546430519,0.0031894927820488,0.7840495479628977,0.813553192809221,0.1922280617932791,0.1715807764333648,0.0889459822055158,0.1361494585669462,all_test
sample_data_bank_tab_split_age_60_0_0.csv,LogReg,0.8928731009830205,0.8872546309095937,0.5968361282666879,0.5347984297553826,0.0107476953340943,1.0,0.9230197358760194,-0.0880713489409141,-0.0140307620054009,0.1165059684438043,-0.0466931547854177,all_test
sample_data_bank_tab_split_age_60_0_1.csv,LogReg,0.8913538873994638,0.8868675698092343,0.6096175348263487,0.5440085297589221,0.0064040910717095,0.9519067611177146,0.9832709233328368,-0.1137123745819397,-0.0188324867028689,0.1148800401410286,-0.0605338332950959,all_test
sample_data_bank_tab_split_age_60_0_2.csv,LogReg,0.8889410187667561,0.8885264030964887,0.5978650403519652,0.5433079758383474,0.0053468957332977,1.0,0.9368047248083956,-0.1092530657748049,-0.0171421862158036,0.114497522979116,-0.057776139186615,all_test
sample_data_bank_tab_split_age_60_0_3.csv,LogReg,0.8923369079535298,0.8874536909040642,0.6106461272892526,0.5325743279068222,0.0088766474908657,1.0,0.8132230621972157,-0.0817168338907469,-0.0124809205119173,0.1168623596808115,-0.0430237712760821,all_test
sample_data_bank_tab_split_age_60_0_4.csv,LogReg,0.8936550491510278,0.8883052253248549,0.6108518017420523,0.5440026701071701,0.0097743711850642,1.0,0.9502574061886854,-0.1114827201783723,-0.0178466596219326,0.1144353166914456,-0.0591534335799998,all_test
Original_0_0_0,LinSVC,0.9000670241286863,0.9020735416090682,0.6401451694459095,0.6471166932481778,0.0035391795052804,0.7637852898585759,0.8218318652459649,0.138477464564421,0.1482513788117502,0.0907448253501092,0.1054542092056197,all_test
sample_data_bank_tab_split_age_60_0_0.csv,LinSVC,0.8909964253798034,0.8870334531379596,0.5721016275169394,0.5277037232227232,0.0110008109303002,0.3246907706945766,0.8328141795923347,-0.0508042681955725,-0.0032023041843776,0.1179138004806868,-0.0256380035338598,all_test
sample_data_bank_tab_split_age_60_0_1.csv,LinSVC,0.8898793565683645,0.8885264030964887,0.5879269510967758,0.5502774397133576,0.0065864463189657,0.441123396436891,0.8916405695456303,-0.0989010989010989,-0.0090120313467205,0.1131768968334988,-0.0508409234933002,all_test
sample_data_bank_tab_split_age_60_0_2.csv,LinSVC,0.8883824843610366,0.8883052253248549,0.5816505720450844,0.540722922401283,0.0045737087560522,0.7580981865174603,0.8806585301616436,-0.0915750915750915,-0.0119273402598731,0.1150554335700432,-0.0479560054399657,all_test
sample_data_bank_tab_split_age_60_0_3.csv,LinSVC,0.8927167113494191,0.8865910975946918,0.5957464461015565,0.5225336163485941,0.0082028241182186,0.8790490932587302,0.7759018987212851,-0.0557413600891861,-0.0069151449158547,0.1190281119050704,-0.0283002945526561,all_test
sample_data_bank_tab_split_age_60_0_4.csv,LinSVC,0.8933199285075961,0.8885816975393974,0.5913446699385417,0.5398545545652547,0.0084668192740047,0.808573761771691,0.9088187678747632,-0.0924510272336359,-0.0120569294053075,0.115132026661519,-0.0480658892797366,all_test
Original_0_0_0,NeuralNet,0.9018096514745308,0.9019076582803428,0.7455364473176276,0.7443902712734657,0.0032010305622624,0.705822598500478,0.7493267186392629,0.1264532568880395,0.2256483283502955,0.0716694051198677,0.1290364963463344,all_test
sample_data_bank_tab_split_age_60_0_0.csv,NeuralNet,0.896112600536193,0.8891346419684821,0.6233913997677122,0.5659956743932391,0.0104768827830353,0.2879584695189677,0.95743677238057,-0.1040770823379519,-0.0080805535065202,0.109994894970854,-0.0562473321997267,all_test
sample_data_bank_tab_split_age_60_0_1.csv,NeuralNet,0.8937667560321716,0.890129941940835,0.6224007904472578,0.5850078471982756,0.0044982469808785,0.7003250261325702,1.0,-0.1945373467112597,-0.0266825726171209,0.1060486130926639,-0.102402310200407,all_test
sample_data_bank_tab_split_age_60_0_2.csv,NeuralNet,0.8886282394995532,0.8890793475255737,0.6099982477513289,0.5835930076479701,0.0041567106089052,0.8047298614056607,0.9274596638437832,-0.1923076923076923,-0.0313690635184547,0.106622308409365,-0.1046543268036414,all_test
sample_data_bank_tab_split_age_60_0_3.csv,NeuralNet,0.8910857908847185,0.890019353055018,0.6257702354817859,0.5664966450238358,0.0087498636022938,0.8987036156041864,0.8997003852190042,-0.1626851409460105,-0.0253245118874022,0.1096346234652136,-0.086463786030937,all_test
sample_data_bank_tab_split_age_60_0_4.csv,NeuralNet,0.8938784629133154,0.8920099529997235,0.6170703453154707,0.5764381509022503,0.0098098865957593,0.8154752770019337,0.9532731822971549,-0.1793279184583532,-0.0252292750369859,0.1071426963263929,-0.0942961541245677,all_test
Original_0_0_0,Tree,0.8735031277926721,0.8773126900746476,0.6985186916988813,0.7057831862560744,0.0028731834867123,0.6637552544897591,0.6600310922427345,0.1100493709189361,0.2098335930143407,0.084475843119622,0.1238464183909997,all_test
sample_data_bank_tab_split_age_60_0_0.csv,Tree,0.8343163538873994,0.8322919546585569,0.6301478548980638,0.6228124647459083,0.0109296577542985,0.2706929007842799,0.4912794795117062,-0.0530657748049052,0.0482791957921063,0.1096909629924808,-0.0169076862316113,all_test
