filename,Test Algorithm,Accuracy Gen,Accuracy Orig,Accuracy Bal Gen,Accuracy Bal Orig,K1 Dist,Disparate Impact,Disparate Impact Gen,Equal Opp. Diff,Statistical Par. Diff,Theil Index,Avg. Odds,testfile,Select Algorithm,selected,retrain,weight,test
Original_0_0_0,LogReg,0.901586237712243,0.903179430467238,0.6477171062527978,0.6549173546430519,0.0031894927820488,0.7840495479628977,0.813553192809221,0.1922280617932791,0.1715807764333648,0.0889459822055158,0.1361494585669462,all_test,None,0,0,0,0
Original_0_0_0,LinSVM,0.9000670241286863,0.9020735416090682,0.6401451694459095,0.6471166932481778,0.0035391795052804,0.7637852898585759,0.8218318652459649,0.138477464564421,0.1482513788117502,0.0907448253501092,0.1054542092056197,all_test,None,0,0,0,0
Original_0_0_0,NeuralNet,0.9018096514745308,0.9019076582803428,0.7455364473176276,0.7443902712734657,0.0032010305622624,0.705822598500478,0.7493267186392629,0.1264532568880395,0.2256483283502955,0.0716694051198677,0.1290364963463344,all_test,None,0,0,0,0
Original_0_0_0,Tree,0.8735031277926721,0.8773126900746476,0.6985186916988813,0.7057831862560744,0.0028731834867123,0.6637552544897591,0.6600310922427345,0.1100493709189361,0.2098335930143407,0.084475843119622,0.1238464183909997,all_test,None,0,0,0,0
Original_0_0_0,RandomForest,0.9040661304736372,0.9068509814763616,0.6881486999088386,0.7030768380277429,0.0029991559518952,0.6913490074396011,0.7265311770304923,0.063258480649785,0.1555497501107931,0.0786875914045537,0.0717860455699158,all_test,None,0,0,0,0
sample_data_bank_tab_split_age_60_0_0.csv,LogReg,0.8928731009830205,0.8872546309095937,0.5968361282666879,0.5347984297553826,0.0107476953340943,1.0,0.9230197358760194,0.0880713489409141,0.0140307620054009,0.1165059684438043,0.0466931547854177,all_test,None,60,0,0,0
sample_data_bank_tab_split_age_60_0_0.csv,LinSVM,0.8909964253798034,0.8870334531379596,0.5721016275169394,0.5277037232227232,0.0110008109303002,0.3246907706945766,0.8328141795923347,0.0508042681955725,0.0032023041843776,0.1179138004806868,0.0256380035338598,all_test,None,60,0,0,0
sample_data_bank_tab_split_age_60_0_0.csv,NeuralNet,0.896112600536193,0.8891346419684821,0.6233913997677122,0.5659956743932391,0.0104768827830353,0.2879584695189677,0.95743677238057,0.1040770823379519,0.0080805535065202,0.109994894970854,0.0562473321997267,all_test,None,60,0,0,0
sample_data_bank_tab_split_age_60_0_0.csv,Tree,0.8343163538873994,0.8322919546585569,0.6301478548980638,0.6228124647459083,0.0109296577542985,0.2706929007842799,0.4912794795117062,0.0530657748049052,0.0482791957921063,0.1096909629924808,0.0169076862316113,all_test,None,60,0,0,0
sample_data_bank_tab_split_age_60_0_0.csv,RandomForest,0.8941689008042897,0.8933038429637822,0.6126266372547408,0.6009899881635035,0.009472337066268,0.4815376089705969,0.8503559397027487,0.0301799649625736,0.0362443523989129,0.1020612073374543,0.0122740767534534,all_test,None,60,0,0,0
sample_data_0_8_0.csv,LogReg,0.932149240393208,0.8964888028753111,0.6468609290673987,0.6109518548520462,0.0481779102169775,0.5135734003948328,1.0,0.0611562350692785,0.0420240841426789,0.0992405088903202,0.0204226354266928,all_test,None,0,8,0,0
sample_data_0_8_0.csv,LinSVM,0.934271671134942,0.8964888028753111,0.667406066157848,0.6074671229145411,0.048388194131162,0.4446988376188798,1.0,0.0773212294951425,0.0308877403864683,0.0999070641088694,0.032259466588622,all_test,None,0,8,0,0
sample_data_0_8_0.csv,NeuralNet,0.938449508489723,0.8954935029029583,0.747814880926052,0.6259670644955887,0.0476213968274267,0.652991472207858,1.0,0.0173594521420608,0.0876039938927763,0.096624945869875,0.0315621666918787,all_test,None,0,8,0,0
sample_data_0_8_0.csv,Tree,0.9325513851653262,0.8650483826375449,0.7939287530136498,0.6210674634135774,0.0474541073754831,0.4485307467702318,1.0,0.0506290810638636,0.0692239520511224,0.1047684580943853,0.0007673504430386,all_test,None,0,8,0,0
sample_data_0_8_0.csv,RandomForest,0.9546023235031278,0.8928836051976777,0.794832859853214,0.5971443046374941,0.0473651821083327,0.4606346438203036,1.0,0.0826405478579391,0.0322076281756741,0.1029212199228168,0.0299833384224511,all_test,None,0,8,0,0
sample_data_1_8_0.csv,LogReg,0.9480563002680964,0.8830743710257118,0.7416801226522758,0.5974113449487021,0.1216292635998534,0.8339618314298388,1.0,0.2810160853639114,0.2039278693410738,0.1055370022638746,0.2025873660998617,all_test,None,1,8,0,0
sample_data_1_8_0.csv,LinSVM,0.9480563002680964,0.8858722698368814,0.7432930504780163,0.6012504911157618,0.1263419269107832,0.8328125532615982,1.0,0.2492435101130753,0.1965152361644875,0.1040442255383541,0.1865629321624858,all_test,None,1,8,0,0
sample_data_1_8_0.csv,NeuralNet,0.9573279714030384,0.8781863422726016,0.8067805568026059,0.6091973626595291,0.1279654027815407,0.7169396918457481,1.0,0.1791686574295269,0.1439336584010017,0.1043748838825183,0.1255922891394635,all_test,None,1,8,0,0
sample_data_1_8_0.csv,Tree,0.9547140303842716,0.8418800110588887,0.8531243306545147,0.6118019985792416,0.1245028413564689,0.6607112164287419,1.0,0.2033604077082338,0.1994008512889707,0.1108443033332237,0.1716580075545803,all_test,None,1,8,0,0
sample_data_1_8_0.csv,RandomForest,0.9687444146559429,0.8879181642244953,0.8637438055494584,0.5534997480349746,0.1301520215931816,0.8938514353541223,1.0,0.2320592451027233,0.126896048391268,0.1127492181383144,0.145473121897894,all_test,None,1,8,0,0
