,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
Base,0.042166666666666665,0.044166667,0.15416666666666667,0.20433333333333334,0.11516666666666668,0.5093333333333333,0.734,0.7588333333333334,0.7503333333333333,0.007436023,0.011157707849036221,0.004922172,0.012518430856585466,0.002006932,0.005213231,0.010945319,0.003789606,0.001943651
Original,0.648,-0.53,-0.032,-0.005,0.091,0.806,0.704,0.885,0.824,,,,,,,,,
VGAN-norm-n-.1_sex,0.48433333333333334,-0.379666667,0.019333333,0.090666667,0.133,0.669,0.588,0.826,0.7463333333333333,0.074575093,0.0704801,0.027094485,0.034901449,0.003511885,0.006806859,0.013051181300301244,0.003511885,0.006666667
VGAN-norm-n-.25_sex,0.11766666666666666,-0.087333333,0.14366666666666666,0.25133333333333335,0.136,0.621,0.5976666666666667,0.81,0.7386666666666667,0.012862520921049829,0.009171211,0.00669162,0.012440972,0.00057735,0.005,0.004055175,0.001527525,0.000881917
VGAN-norm-n-.5_sex,0.048333333,-0.044333333,0.14733333333333332,0.2313333333333333,0.123,0.5646666666666667,0.674,0.7893333333333334,0.7506666666666666,0.007264832,0.007753136,0.005364492,0.010397649306988143,0.003464102,0.018800118,0.021079216,0.008762293,0.001855921
VGAN-norm-n-.75_sex,0.032333333,-0.024,0.158,0.247,0.123,0.572,0.6709999999999999,0.7936666666666667,0.7526666666666667,0.016756425,0.017320508075688773,0.005567764,0.008504901,0.002,0.009712535,0.012489995996796772,0.004371626,0.002603417
