,Select Fair,Select G Fair,Select Acc,Hyp,Best Res,time
0,0.7259315789393874,0.4159320042482374,0.7690659631859136,0.0,0.0,0.0
1,0.2583174599088781,0.466515125021857,0.7374321804600006,2.2039784455342835,1.9618045008303309,20.2163245677948
2,0.023038236053242955,0.5862411164161004,0.7266251502959784,2.071752288559867,1.9769503371151957,24.260804414749146
3,0.01290321923452642,0.5703216453187536,0.7297520598905347,2.6571014041385763,2.310519054304178,27.368414878845215
4,0.027850955719371684,0.5156755146589963,0.743474086635137,2.472515557609277,2.231433420730417,30.92371129989624
5,0.0008110343642243611,0.5608829512540494,0.7416541518096875,1.8026805191371513,1.8912450517749948,34.2751989364624
6,0.005179176271346009,0.5391557611994064,0.7474814772270404,1.8798279984470334,1.9343450392121821,37.90004539489746
7,0.0007498100218187309,0.5578356931742567,0.740488190839721,1.6437844190790734,1.825099082479419,41.88261151313782
8,0.02858388752974661,0.5374205768963709,0.7438800230869688,1.9309797680666767,1.93948630113518,45.11109471321106
9,0.009055216485962525,0.521854032033489,0.7426473999070369,1.7859093088554858,1.8811693846305708,48.79968452453613
10,0.013068514023493627,0.5199341895854945,0.7444577308547796,1.8373235124442828,1.9049668562027389,52.80339479446411
11,0.00977306785357357,0.46305649815914685,0.741407275659223,1.76231007195719,1.8684809425572213,56.80188488960266
12,0.0011049088555865616,0.49867227021346683,0.7437847375552105,1.8905443735021554,1.9345217882088726,61.03403639793396
13,0.004807538786477217,0.5259384819081923,0.7438512114538482,1.7898319498835094,1.8873943074529702,64.8729956150055
14,0.0032173753508838443,0.5275542078524558,0.7392624724084673,1.7870944962719226,1.8788990573149913,67.72567677497864
15,0.024001867110984287,0.44832995359635397,0.7442694509124155,1.9862545623510657,1.9696847490992153,72.95227718353271
16,0.008250259786703906,0.4856507324338305,0.74195981247958,1.7699668103442725,1.8735653370921936,77.26650094985962
17,0.006337531261702445,0.48571759224387046,0.7429830334632368,1.866644036038198,1.919210481649897,77.03009176254272
