,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
Base,0.050333333333333334,-0.027999999999999997,-0.19399999999999998,-0.3526666666666667,0.07233333333333332,0.39466666666666667,0.7073333333333333,0.8323333333333333,0.7783333333333333,0.021184375793914204,0.018330302779823362,0.01053565375285275,0.015452435981999014,0.0006666666666666668,0.03491577166712932,0.05219301783870245,0.024659908984242224,0.008647414514048572
Original,0.698,0.466,0.073,0.066,0.08,0.652,0.425,0.906,0.698,,,,,,,,,
VGAN-norm-t-100_age,0.04833333333333334,-0.034333333333333334,-0.19633333333333333,-0.35033333333333333,0.072,0.3466666666666667,0.7719999999999999,0.7936666666666667,0.7840000000000001,0.014169607537888188,0.023254629168786543,0.006385748020222674,0.013860415257527858,0.0005773502691896263,0.03730207024341201,0.04291076011134426,0.03527668414752787,0.0023094010767585054
VGAN-norm-t-15_age,0.08933333333333333,-0.08133333333333334,-0.22,-0.3873333333333333,0.072,0.337,0.7876666666666666,0.7886666666666667,0.7883333333333334,0.02905932629027116,0.033198058845527574,0.006350852961085889,0.002848001248439175,0.0005773502691896263,0.028112867753634346,0.029672284112357172,0.026269965951845296,0.0027284509239574924
VGAN-norm-t-1_age,0.49866666666666665,0.6936666666666667,0.04733333333333333,-0.09666666666666668,0.068,0.37766666666666665,0.7799999999999999,0.8236666666666667,0.8046666666666668,0.03361712526542258,0.09095847648484687,0.030780585511722233,0.03212648613077863,0.0005773502691896263,0.006887992773257279,0.010214368964029703,0.004977728174356049,0.002185812841434008
VGAN-norm-t-2_age,0.14666666666666667,0.08433333333333333,-0.161,-0.3233333333333333,0.072,0.36999999999999994,0.743,0.8213333333333334,0.7873333333333333,0.08928294598883062,0.12904047599278473,0.04804511768466525,0.062194140488563004,0.000999999999999995,0.00916515138991169,0.01928730152198593,0.006839428176227764,0.005238744548500599
