,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
.20,0.10166666666666667,-0.00833333333333334,0.035666666666666666,0.056666666666666664,0.2793333333333334,0.7173333333333334,0.611,0.66,0.6643333333333333,0.020102515044419476,0.10981853719254829,0.03570869797557888,0.04642676431159557,0.009938701010583695,0.003333333333333332,0.015631165450257837,0.0030550504633038962,0.0017638342073764024
.5,0.031,0.029666666666666664,0.04933333333333333,0.064,0.2316666666666667,0.6906666666666667,0.6906666666666667,0.6656666666666667,0.6636666666666667,0.01900876990584434,0.038176490729825395,0.011921036494831776,0.018520259177452137,0.01587800715175275,0.005364492313143672,0.02656020414914848,0.0038441875315569384,0.002185812841434008
.7,0.09000000000000001,0.13933333333333334,0.08366666666666667,0.11633333333333334,0.25233333333333335,0.7006666666666667,0.6556666666666667,0.6626666666666666,0.6633333333333334,0.03146956201368766,0.04573231291378607,0.013739642563683296,0.02754592125483877,0.010728984626287397,0.006227180564089811,0.017938165396098295,0.0012018504251546669,0.0006666666666666581
.75,0.09266666666666667,0.15466666666666665,0.09266666666666667,0.09200000000000001,0.2336666666666667,0.6843333333333333,0.6886666666666666,0.6606666666666667,0.6583333333333333,0.047238167242648656,0.07692926043522784,0.02278400998751342,0.0327414110874898,0.015624055527010629,0.008412952976082612,0.0245107686084663,0.010170764201594924,0.009261629326299871
.9,0.08600000000000001,0.11433333333333333,0.07433333333333333,0.104,0.27199999999999996,0.7046666666666667,0.6273333333333334,0.6556666666666667,0.6576666666666667,0.04705670338361298,0.049880969428341214,0.01301708279317776,0.027537852736430512,0.04660829682935576,0.010898521816181185,0.0723425493360888,0.0168358083988992,0.012454361128179608
0,0.2806666666666667,-0.5536666666666666,-0.13866666666666666,-0.14533333333333331,0.21533333333333335,0.7120000000000001,0.7120000000000001,0.6893333333333334,0.6873333333333332,0.00887568463712956,0.01039764930698814,0.0028480012484391735,0.0038441875315569345,0.004409585518440989,0.0061101009266077925,0.00818535277187247,0.0026034165586355136,0.003480102169636812
1,0.022999999999999996,0.033,0.051666666666666666,0.054333333333333324,0.19899999999999998,0.673,0.7473333333333333,0.6673333333333334,0.66,0.013012814197295426,0.03160696125855822,0.011723670263379317,0.012170090842352457,0.010598742063723098,0.010503967504392442,0.01877350378710498,0.006359594676112985,0.007371114795832001
Base,0.02,-0.009666666666666665,0.035333333333333335,0.06933333333333334,0.2316666666666667,0.7013333333333334,0.6890000000000001,0.6736666666666666,0.672,0.0015275252316519455,0.02161275343659644,0.004096068575814835,0.025458026457506704,0.019462214102660004,0.005364492313143708,0.03218695387886215,0.0071724782637833055,0.005131601439446902
Original,0.273,-0.566,-0.153,-0.134,0.215,0.683,0.719,0.668,0.664,,,,,,,,,
